k,1agent,4agent_coevol,4agent_attempts_only,4agent_no_sharing
1,0.9811045795,0.3641018935,0.3641018935,0.3641018935
2,0.9811045795,0.3641018935,0.3641018935,0.3641018935
3,0.9811045795,0.3641018935,0.3641018935,0.8297520995
4,0.9811045795,0.3641018935,0.3641018935,0.9957961911
5,0.9999567894,0.3641018935,0.3641018935,0.9961567703
6,0.9999567894,0.9960329688,0.3641018935,0.9961567703
7,0.9999567894,0.9960329688,0.3641018935,0.9999567670
8,0.9999567894,0.9960329688,0.3641018935,0.9999567670
9,0.9999567916,0.9960329688,0.3641018935,0.9999571519
10,0.9999567916,0.9960329688,0.3641018935,0.9999571519
11,1.0000001498,0.9960329688,0.9975978998,0.9999571758
12,1.0000001498,0.9960329688,0.9975978998,0.9999571822
13,1.0000001498,0.9960329688,0.9975978998,0.9999572402
14,1.0000001498,0.9960329688,0.9975978998,1.0000001472
15,1.0000003801,0.9960329688,0.9975978998,1.0000001472
16,1.0000003801,0.9960329688,0.9975978998,1.0000001472
17,1.0000004041,0.9960329688,0.9975978998,1.0000001472
18,1.0000004041,0.9960329688,0.9975978998,1.0000001472
19,1.0000004041,0.9960329688,0.9975978998,1.0000001472
20,1.0000004041,0.9960329688,0.9975978998,1.0000001472
21,1.0000004041,0.9960329688,0.9975978998,1.0000001472
22,1.0000004041,0.9960329688,0.9975978998,1.0000001472
23,1.0000004041,0.9960329688,0.9975978998,1.0000001472
24,1.0000004041,0.9960329688,0.9975978998,1.0000001472
25,1.0000004041,0.9960329688,0.9975978998,1.0000001966
26,1.0000004041,0.9965710298,0.9975978998,1.0000001966
27,1.0000004041,0.9965710298,0.9975978998,1.0000001966
28,1.0000004041,0.9965710298,0.9975978998,1.0000001966
29,1.0000004041,0.9965710298,0.9975978998,1.0000003319
30,1.0000004041,0.9965710298,0.9975978998,1.0000003319
31,1.0000004041,0.9977248478,0.9977550941,1.0000003319
32,1.0000004041,0.9977248478,0.9977550941,1.0000003319
33,1.0000004041,0.9977248478,0.9977550941,1.0000003319
34,1.0000004041,0.9977248478,0.9977550941,1.0000003319
35,1.0000004041,0.9977248478,0.9977550941,1.0000003319
36,1.0000004041,0.9977248478,0.9977550941,1.0000003876
37,1.0000004041,0.9977248478,0.9977550941,1.0000003931
38,1.0000004041,0.9977248478,0.9977550941,1.0000003931
39,1.0000004041,0.9977248478,0.9977550941,1.0000003931
40,1.0000004041,0.9977248478,0.9977550941,1.0000003931
41,1.0000004041,0.9977248478,0.9980980267,1.0000003931
42,1.0000004041,0.9977248478,0.9980980267,1.0000003931
43,1.0000004041,0.9977248478,0.9980980267,1.0000003931
44,1.0000004041,0.9977248478,0.9980980267,1.0000003931
45,1.0000004041,0.9977248478,0.9980980267,1.0000003984
46,1.0000004041,0.9977248478,0.9983888576,1.0000003984
47,1.0000004041,0.9977248478,0.9983888576,1.0000003984
48,1.0000004041,0.9977248478,0.9983888576,1.0000003984
49,1.0000004041,0.9977248478,0.9983888576,1.0000004096
50,1.0000004041,0.9977248478,0.9983888576,1.0000004096
51,1.0000004041,0.9989053670,0.9983888576,1.0000004096
52,1.0000004041,0.9989053670,0.9983888576,1.0000004096
53,1.0000004041,0.9989053670,0.9983888576,1.0000004096
54,1.0000004041,0.9989053670,0.9983888576,1.0000004096
55,1.0000004041,0.9989053670,0.9983888576,1.0000004096
56,1.0000004041,0.9989053670,0.9983888576,1.0000004096
57,1.0000004041,0.9989053670,0.9983888576,1.0000004096
58,1.0000004041,0.9989053670,0.9983888576,1.0000004096
59,1.0000004292,0.9989053670,0.9983888576,1.0000004096
60,1.0000004292,0.9989053670,0.9983888576,1.0000004096
61,1.0000004292,0.9989053670,0.9983888576,1.0000004096
62,1.0000004292,0.9989053670,0.9983888576,1.0000004096
63,1.0000004292,0.9989053670,0.9983888576,1.0000004096
64,1.0000004292,0.9989053670,0.9983888576,1.0000044851
65,1.0000004292,0.9989053670,0.9983888576,1.0000044851
66,1.0000004292,0.9989053670,0.9983888576,1.0000044851
67,1.0000004292,0.9989053670,0.9983888576,1.0000044851
68,1.0000004292,0.9989053670,0.9983888576,1.0000044851
69,1.0000004292,0.9989053670,0.9983888576,1.0000044851
70,1.0000004292,0.9989053670,0.9983888576,1.0000049472
71,1.0000004292,0.9989053670,0.9986208413,1.0000049472
72,1.0000004292,0.9989053670,0.9986208413,1.0000049472
73,1.0000004292,0.9989053670,0.9986208413,1.0000049472
74,1.0000004292,0.9989053670,0.9986208413,1.0000049472
75,1.0000004292,0.9989053670,0.9986208413,1.0000052722
76,1.0000004292,0.9989053670,0.9986208413,1.0000052722
77,1.0000004292,0.9989053670,0.9986208413,1.0000055133
78,1.0000004292,0.9989053670,0.9986208413,1.0000055133
79,1.0000004292,0.9989053670,0.9986208413,1.0000055133
80,1.0000004292,0.9989053670,0.9986208413,1.0000055133
81,1.0000004292,0.9989053670,0.9986208413,1.0000055133
82,1.0000004292,0.9989053670,0.9986208413,1.0000055133
83,1.0000004292,0.9989053670,0.9986208413,1.0000055133
84,1.0000004292,0.9989053670,0.9986208413,1.0000055133
85,1.0000004292,0.9989053670,0.9986208413,1.0000055133
86,1.0000004292,0.9989053670,0.9986208413,1.0000055133
87,1.0000004292,0.9989053670,0.9986208413,1.0000055133
88,1.0000004292,0.9989053670,0.9986208413,1.0000055133
89,1.0000004292,0.9989053670,0.9986208413,1.0000055133
90,1.0000004292,0.9989053670,0.9986208413,1.0000055133
91,1.0000004292,0.9989053670,0.9986208413,1.0000055133
92,1.0000004292,0.9989053670,0.9986208413,1.0000055133
93,1.0000004292,0.9989053670,0.9986208413,1.0000055133
94,1.0000004292,0.9989053670,0.9986208413,1.0000055133
95,1.0000004292,0.9989053670,0.9986208413,1.0000055133
96,1.0000004292,0.9989053670,0.9986208626,1.0000055133
97,1.0000004292,0.9989053670,0.9986208626,1.0000055133
98,1.0000004292,0.9989053670,0.9986208626,1.0000055133
99,1.0000004292,0.9989053670,0.9986208626,1.0000055133
100,1.0000004292,0.9989053670,0.9986208626,1.0000055133
101,1.0000004292,0.9989053670,0.9986208626,1.0000055133
102,1.0000004292,0.9989053670,0.9986208626,1.0000055133
103,1.0000004292,0.9989053670,0.9986208626,1.0000055133
104,1.0000004292,0.9989053670,0.9986208626,1.0000055133
105,1.0000004292,0.9989053670,0.9986208626,1.0000055133
106,1.0000004292,0.9989053670,0.9986208626,1.0000055133
107,1.0000004292,0.9989053670,0.9986208626,1.0000055133
108,1.0000004292,0.9989053670,0.9986208626,1.0000055133
109,1.0000004292,0.9989053670,0.9986208626,1.0000055133
110,1.0000004292,0.9989053670,0.9986208626,1.0000055133
111,1.0000004292,0.9989053670,1.0000022855,1.0000055133
112,1.0000004292,0.9989053670,1.0000022855,1.0000055133
113,1.0000004292,0.9989053670,1.0000022855,1.0000055133
114,1.0000004292,0.9989053670,1.0000022855,1.0000055133
115,1.0000004292,0.9989053670,1.0000022855,1.0000055133
116,1.0000004292,0.9989053670,1.0000023070,1.0000055133
117,1.0000004292,0.9989053670,1.0000023070,1.0000055133
