k,1agent,4agent_coevol,4agent_attempts_only,4agent_no_sharing
1,0.9803103735,0.9405700530,0.8959493883,0.8959493883
2,0.9803103735,0.9405700530,0.8959493883,0.9931133644
3,0.9956766129,0.9405700530,0.8959493883,0.9931133644
4,0.9956766129,0.9405700530,0.8959493883,0.9967462920
5,0.9999899762,0.9405700530,0.8959493883,0.9967462920
6,0.9999899762,0.9916891695,0.9351084869,0.9968986014
7,1.0000000000,0.9916891695,0.9351084869,0.9982908201
8,1.0000000000,0.9916891695,0.9351084869,0.9984498073
9,1.0001252691,0.9916891695,0.9351084869,0.9988988847
10,1.0001252691,0.9916891695,0.9351084869,0.9988988847
11,1.0001252691,0.9923881896,0.9984742932,0.9992343379
12,1.0001252691,0.9923881896,0.9984742932,0.9995035666
13,1.0001252691,0.9923881896,0.9984742932,0.9995035666
14,1.0001252691,0.9923881896,0.9984742932,0.9995035666
15,1.0001252691,0.9923881896,0.9984742932,0.9995035666
16,1.0001252691,0.9969038646,0.9988487723,0.9997177595
17,1.0001252691,0.9969038646,0.9988487723,0.9997177595
18,1.0001252691,0.9969038646,0.9988487723,0.9997177595
19,1.0001252691,0.9969038646,0.9988487723,0.9997177595
20,1.0001252691,0.9969038646,0.9988487723,0.9997177595
21,1.0001252691,0.9975906622,0.9988487723,0.9997177595
22,1.0001252691,0.9975906622,0.9988487723,0.9997177595
23,1.0001252691,0.9975906622,0.9988487723,0.9997177595
24,1.0001252691,0.9975906622,0.9988487723,0.9997177595
25,1.0001252691,0.9975906622,0.9988487723,0.9997177595
26,1.0001252691,0.9975906622,0.9988520959,0.9997177595
27,1.0001252691,0.9975906622,0.9988520959,0.9997177595
28,1.0001252691,0.9975906622,0.9988520959,0.9997177595
29,1.0001252691,0.9975906622,0.9988520959,0.9997177595
30,1.0001252691,0.9975906622,0.9988520959,0.9997177595
31,1.0001252691,0.9984484370,0.9990323323,0.9997177595
32,1.0001252691,0.9984484370,0.9990323323,0.9997177595
33,1.0001252691,0.9984484370,0.9990323323,0.9997177595
34,1.0001252691,0.9984484370,0.9990323323,0.9997177595
35,1.0001252691,0.9984484370,0.9990323323,0.9997177595
36,1.0001252691,0.9988808765,0.9990323323,0.9997177595
37,1.0001252691,0.9988808765,0.9990323323,0.9997177595
38,1.0001252691,0.9988808765,0.9990323323,0.9997177595
39,1.0001252691,0.9988808765,0.9990323323,0.9997177595
40,1.0001252691,0.9988808765,0.9990323323,0.9997177595
41,1.0001252691,0.9988808765,0.9990323323,0.9997350492
42,1.0001252691,0.9988808765,0.9990323323,0.9997350492
43,1.0001252691,0.9988808765,0.9990323323,0.9997350492
44,1.0001252691,0.9988808765,0.9990323323,0.9997350492
45,1.0001252691,0.9988808765,0.9990323323,0.9997350599
46,1.0001252691,0.9993241571,0.9990323323,0.9997350603
47,1.0001252691,0.9993241571,0.9990323323,0.9997356376
48,1.0001252691,0.9993241571,0.9990323323,0.9997356376
49,1.0001252691,0.9993241571,0.9990323323,0.9997361489
50,1.0001252691,0.9993241571,0.9990323323,0.9997361489
51,1.0001252691,0.9993241571,0.9990323323,0.9997372867
52,1.0001252691,0.9993241571,0.9990323323,0.9997372867
53,1.0001252691,0.9993241571,0.9990323323,0.9997403339
54,1.0001252691,0.9993241571,0.9990323323,0.9997403339
55,1.0001252691,0.9993241571,0.9990323323,0.9997403339
56,1.0001252691,0.9995139392,0.9990323323,0.9997403339
57,1.0001252691,0.9995139392,0.9990323323,0.9997403339
58,1.0001252691,0.9995139392,0.9990323323,0.9997403874
59,1.0001252691,0.9995139392,0.9990323323,0.9997404016
60,1.0001252691,0.9995139392,0.9990323323,0.9997404016
61,1.0001252691,0.9995139392,0.9990323323,0.9997404016
62,1.0001252691,0.9995139392,0.9990323323,0.9997407572
63,1.0001252691,0.9995139392,0.9990323323,0.9997407572
64,1.0001252691,0.9995139392,0.9990323323,0.9997407572
65,1.0001252691,0.9995139392,0.9990323323,0.9997407572
66,1.0001252691,0.9995139392,0.9990323323,0.9997407572
67,1.0001252691,0.9995139392,0.9990323323,0.9997407572
68,1.0001252691,0.9995139392,0.9990323323,0.9997407572
69,1.0001252691,0.9995139392,0.9990323323,0.9997407572
70,1.0001252691,0.9995139392,0.9990323323,0.9997407572
71,1.0001252691,0.9995965528,0.9990323323,0.9997407572
72,1.0001252691,0.9995965528,0.9990323323,0.9997407572
73,1.0001252691,0.9995965528,0.9990323323,0.9997407572
74,1.0001252691,0.9995965528,0.9990323323,0.9997407572
75,1.0001252691,0.9995965528,0.9990323323,0.9999899762
76,1.0001252691,0.9995965528,0.9990323323,0.9999899762
77,1.0001252691,0.9995965528,0.9990323323,0.9999899762
78,1.0001252691,0.9995965528,0.9990323323,0.9999899762
79,1.0001252691,0.9995965528,0.9990323323,0.9999899762
80,1.0001252691,0.9995965528,0.9990323323,0.9999899762
81,1.0001252691,0.9996031625,0.9990323323,0.9999899762
82,1.0001252691,0.9996031625,0.9990323323,0.9999899762
83,1.0001252691,0.9996031625,0.9990323323,0.9999899762
84,1.0001252691,0.9996031625,0.9990323323,0.9999899762
85,1.0001252691,0.9996031625,0.9990323323,0.9999899762
86,1.0001252691,0.9996705682,0.9990323323,1.0000000000
87,1.0001252691,0.9996705682,0.9990323323,1.0000000000
88,1.0001252691,0.9996705682,0.9990323323,1.0000000000
89,1.0001252691,0.9996705682,0.9990323323,1.0000955229
90,1.0001252691,0.9996705682,0.9990323323,1.0000955229
91,1.0001252691,0.9996705682,0.9990323323,1.0000955229
92,1.0001252691,0.9996705682,0.9990323323,1.0001252691
93,1.0001252691,0.9996705682,0.9990323323,1.0001252691
94,1.0001252691,0.9996705682,0.9990323323,1.0001252691
95,1.0001252691,0.9996705682,0.9990323323,1.0001252691
96,1.0001252691,0.9996705682,0.9990323323,1.0001252691
97,1.0001252691,0.9996705682,0.9990323323,1.0001252691
98,1.0001252691,0.9996705682,0.9990323323,1.0001252691
99,1.0001252691,0.9996705682,0.9990323323,1.0001280968
100,1.0001252691,0.9996705682,0.9990323323,1.0001280968
101,1.0001252691,0.9996714316,0.9990336347,1.0001280968
102,1.0001252691,0.9996714316,0.9990336347,1.0001280968
103,1.0001252691,0.9996714316,0.9990336347,1.0001280968
104,1.0001252691,0.9996714316,0.9990336347,1.0001280968
105,1.0001252691,0.9996714316,0.9990336347,1.0001280968
106,1.0001252691,0.9996714316,0.9990363508,1.0001280968
107,1.0001252691,0.9996714316,0.9990363508,1.0001280968
108,1.0001252691,0.9996714316,0.9990363508,1.0001280968
109,1.0001252691,0.9996714316,0.9990363508,1.0001280968
110,1.0001252691,0.9996714316,0.9990363508,1.0001280968
111,1.0001252691,0.9996714316,0.9990382470,1.0001280968
