k,1agent,4agent_coevol,4agent_no_sharing
1,0.8000000000,0.8000000000,0.8000000000
2,0.8000000000,0.8000000000,0.8000000000
3,0.8000000000,0.8000000000,0.8000000000
4,0.8000000000,0.8000000000,0.8000000000
5,0.8000000000,0.8000000000,0.8000000000
6,0.8000000000,0.8000000000,0.8000000000
7,0.8000000000,0.8000000000,0.8000000000
8,0.8000000000,0.8000000000,0.8000000000
9,0.8000000000,0.8000000000,0.8000000000
10,0.8000000000,0.8000000000,0.8000000000
11,0.8000000000,0.8000000000,0.8000000000
12,0.8000000000,0.8000000000,0.8000000000
13,0.8000000000,0.8000000000,0.8000000000
14,0.8000000000,0.8000000000,0.8000000000
15,0.8000000000,0.8000000000,0.8000000000
16,0.8000000000,0.8000000000,0.8000000000
17,0.8000000000,0.8000000000,0.8000000000
18,0.8000000000,0.8000000000,0.8000000000
19,0.8000000000,0.8000000000,0.8000000000
20,0.8000000000,0.8000000000,0.8000000000
21,0.8000000000,0.8000000000,0.8000000000
22,0.8000000000,0.8000000000,0.8000000000
23,0.8000000000,0.8000000000,0.8000000000
24,0.8000000000,0.8000000000,0.8000000000
25,0.8000000000,0.8000000000,0.8000000000
26,0.8000000000,0.8000000000,0.8000000000
27,0.8000000000,0.8000000000,0.8000000000
28,0.8000000000,0.8000000000,0.8000000000
29,0.8000000000,0.8000000000,0.8000000000
30,0.8000000000,0.8000000000,0.8000000000
31,0.8000000000,1.0000000000,0.8000000000
32,0.8000000000,1.0000000000,0.8000000000
33,0.8000000000,1.0000000000,0.8000000000
34,0.8000000000,1.0000000000,0.8000000000
35,0.8000000000,1.0000000000,0.8000000000
36,0.8000000000,1.0000000000,0.8000000000
37,0.8000000000,1.0000000000,0.8000000000
38,0.8000000000,1.0000000000,0.8000000000
39,0.8000000000,1.0000000000,0.8000000000
40,0.8000000000,1.0000000000,0.8000000000
41,0.8000000000,1.0000000000,0.8000000000
42,0.8000000000,1.0000000000,0.8000000000
43,0.8000000000,1.0000000000,0.8000000000
44,0.8000000000,1.0000000000,0.8000000000
45,0.8000000000,1.0000000000,0.8000000000
46,0.8000000000,1.0000000000,0.8000000000
47,0.8000000000,1.0000000000,0.8000000000
48,0.8000000000,1.0000000000,0.8000000000
49,0.8000000000,1.0000000000,0.8000000000
50,0.8000000000,1.0000000000,0.8000000000
51,0.8000000000,1.0000000000,0.8000000000
52,0.8000000000,1.0000000000,0.8000000000
53,0.8000000000,1.0000000000,0.8000000000
54,0.8000000000,1.0000000000,0.8000000000
55,0.8000000000,1.0000000000,0.8000000000
