k,1agent,4agent_coevol,4agent_attempts_only,4agent_no_sharing
1,0.4990486178,0.5738061828,0.4990486178,0.4990486178
2,0.5688303291,0.5738061828,0.4990486178,0.4990486178
3,0.6711303447,0.5738061828,0.4990486178,0.6114718294
4,0.6711303447,0.5738061828,0.4990486178,0.6114718294
5,0.6711303447,0.5738061828,0.4990486178,0.6404093628
6,0.6723424845,0.5891030586,0.6060465583,0.6542222264
7,0.6953866910,0.5891030586,0.6060465583,0.6651861310
8,0.7013430034,0.5891030586,0.6060465583,0.6688688797
9,0.7013430034,0.5891030586,0.6060465583,0.6688688797
10,0.7013430034,0.5891030586,0.6060465583,0.7047423168
11,0.7303095063,0.5891030586,0.6060465583,0.7161657070
12,0.7303095063,0.5891030586,0.6060465583,0.7181977120
13,0.7303095063,0.5891030586,0.6060465583,0.7181977120
14,0.7303095063,0.5891030586,0.6060465583,0.7181977120
15,0.7303095063,0.5891030586,0.6060465583,0.7351694797
16,0.7303095063,0.5891030586,0.6628130981,0.7351694797
17,0.7303095063,0.5891030586,0.6628130981,0.7351694797
18,0.7303095063,0.5891030586,0.6628130981,0.7351694797
19,0.7303095063,0.5891030586,0.6628130981,0.7351694797
20,0.7303095063,0.5891030586,0.6628130981,0.7351694797
21,0.7303095063,0.6592895811,0.6697492015,0.7351694797
22,0.7303095063,0.6592895811,0.6697492015,0.7351694797
23,0.7303095063,0.6592895811,0.6697492015,0.7351694797
24,0.7303095063,0.6592895811,0.6697492015,0.7351694797
25,0.7303095063,0.6592895811,0.6697492015,0.7351694797
26,0.7303095063,0.6841017354,0.6760220870,0.7351694797
27,0.7303095063,0.6841017354,0.6760220870,0.7351694797
28,0.7303095063,0.6841017354,0.6760220870,0.7351694797
29,0.7303095063,0.6841017354,0.6760220870,0.7351694797
30,0.7303095063,0.6841017354,0.6760220870,0.7351694797
31,0.7303095063,0.6841017354,0.6760220870,0.7351694797
32,0.7303095063,0.6841017354,0.6760220870,0.7351694797
33,0.7303095063,0.6841017354,0.6760220870,0.7371468035
34,0.7303095063,0.6841017354,0.6760220870,0.7371468035
35,0.7303095063,0.6841017354,0.6760220870,0.7371468035
36,0.7303095063,0.6896564112,0.6868498263,0.7371468035
37,0.7303095063,0.6896564112,0.6868498263,0.7371468035
38,0.7303095063,0.6896564112,0.6868498263,0.7371468035
39,0.7303095063,0.6896564112,0.6868498263,0.7371468035
40,0.7303095063,0.6896564112,0.6868498263,0.7380125161
41,0.7303095063,0.7018454772,0.6868498263,0.7402884654
42,0.7303095063,0.7018454772,0.6868498263,0.7402884654
43,0.7303095063,0.7018454772,0.6868498263,0.7402884654
44,0.7303095063,0.7018454772,0.6868498263,0.7402884654
45,0.7303095063,0.7018454772,0.6868498263,0.7402884654
46,0.7303095063,0.7069736254,0.6868498263,0.7402884654
47,0.7303095063,0.7069736254,0.6868498263,0.7402884654
48,0.7303095063,0.7069736254,0.6868498263,0.7402884654
49,0.7303095063,0.7069736254,0.6868498263,0.7417132444
50,0.7303095063,0.7069736254,0.6868498263,0.7417132444
51,0.7303095063,0.7128911430,0.6868507158,0.7417132444
52,0.7303095063,0.7128911430,0.6868507158,0.7417132444
53,0.7303095063,0.7128911430,0.6868507158,0.7417132444
54,0.7303095063,0.7128911430,0.6868507158,0.7417132444
55,0.7303095063,0.7128911430,0.6868507158,0.7417132444
56,0.7303095063,0.7128911430,0.6881672801,0.7417132444
57,0.7303095063,0.7128911430,0.6881672801,0.7417132444
58,0.7303095063,0.7128911430,0.6881672801,0.7417132444
59,0.7303095063,0.7128911430,0.6881672801,0.7417132444
60,0.7303095063,0.7128911430,0.6881672801,0.7417132444
61,0.7303095063,0.7128911430,0.6883633892,0.7417132444
62,0.7303095063,0.7128911430,0.6883633892,0.7417132444
63,0.7303095063,0.7128911430,0.6883633892,0.7417132444
64,0.7303095063,0.7128911430,0.6883633892,0.7417132444
65,0.7303095063,0.7128911430,0.6883633892,0.7417132444
66,0.7303095063,0.7135118355,0.6883633892,0.7417132444
67,0.7303095063,0.7135118355,0.6883633892,0.7417132444
68,0.7303095063,0.7135118355,0.6883633892,0.7417132444
69,0.7303095063,0.7135118355,0.6883633892,0.7417132444
70,0.7303095063,0.7135118355,0.6883633892,0.7417132444
71,0.7303095063,0.7135118355,0.6883633892,0.7417132444
72,0.7303095063,0.7135118355,0.6883633892,0.7417132444
73,0.7303095063,0.7135118355,0.6883633892,0.7417132444
74,0.7303095063,0.7135118355,0.6883633892,0.7417132444
75,0.7303095063,0.7135118355,0.6883633892,0.7417132444
76,0.7303095063,0.7135118355,0.6927271253,0.7417132444
77,0.7303095063,0.7135118355,0.6927271253,0.7417132444
78,0.7303095063,0.7135118355,0.6927271253,0.7417132444
79,0.7303095063,0.7135118355,0.6927271253,0.7417132444
80,0.7303095063,0.7135118355,0.6927271253,0.7417132444
81,0.7303095063,0.7135118355,0.7071061453,0.7417132444
82,0.7303095063,0.7135118355,0.7071061453,0.7417132444
83,0.7303095063,0.7135118355,0.7071061453,0.7417132444
84,0.7303095063,0.7135118355,0.7071061453,0.7417132444
